DATE,SALINITY,SALINITY_UNITS
2021-10-06,39.0,ppt
2021-10-07,39.0,ppt
2021-10-12,38.0,ppt
2021-10-13,38.0,ppt
2021-10-14,38.0,ppt
2021-10-15,38.0,ppt
2021-10-16,37.0,ppt
2021-10-17,37.0,ppt
2021-10-18,37.0,ppt
2021-10-19,37.0,ppt
2021-10-20,37.0,ppt
2021-10-21,37.0,ppt
2021-10-22,38.0,ppt
2021-10-23,38.0,ppt
2021-10-24,37.0,ppt
2021-10-25,37.0,ppt
2021-10-26,37.0,ppt
2021-10-27,37.0,ppt
2021-10-28,36.0,ppt
2021-10-29,35.0,ppt
2021-10-30,33.0,ppt
2021-10-31,33.0,ppt
2021-11-01,34.0,ppt
2021-11-02,33.0,ppt
2021-11-03,33.0,ppt
2021-11-04,32.0,ppt
2021-11-05,31.0,ppt
2021-11-06,29.0,ppt
2021-11-07,29.0,ppt
2021-11-08,28.0,ppt
2021-11-09,28.0,ppt
2021-11-10,28.0,ppt
2021-11-11,28.0,ppt
2021-11-12,27.0,ppt
2021-11-13,27.0,ppt
2021-11-14,27.0,ppt
2021-11-15,28.0,ppt
2021-11-16,28.0,ppt
2021-11-20,26.0,ppt
2021-11-21,27.0,ppt
2021-11-22,27.0,ppt
2021-11-24,28.0,ppt
2021-11-25,28.0,ppt
2021-11-26,29.0,ppt
2021-11-27,29.0,ppt
2021-11-28,29.0,ppt
2021-11-29,29.0,ppt
2021-11-30,29.0,ppt
2021-12-01,28.0,ppt
2021-12-02,29.0,ppt
2021-12-03,29.0,ppt
2021-12-04,29.0,ppt
2021-12-06,29.0,ppt
2021-12-14,30.0,ppt
2021-12-15,30.0,ppt
2021-12-16,30.0,ppt
2021-12-17,30.0,ppt
2021-12-18,31.0,ppt
2021-12-19,31.0,ppt
2021-12-20,32.0,ppt
2021-12-21,32.0,ppt
2021-12-22,32.0,ppt
2021-12-23,30.0,ppt
2021-12-24,30.0,ppt
2021-12-25,30.0,ppt
2021-12-26,29.0,ppt
2021-12-27,30.0,ppt
2021-12-28,30.0,ppt
2021-12-29,30.0,ppt
2021-12-30,30.0,ppt
2021-12-31,31.0,ppt
2022-01-01,32.0,ppt
2022-01-02,32.0,ppt
2022-01-03,33.0,ppt
2022-01-04,33.0,ppt
2022-01-05,33.0,ppt
2022-01-06,33.0,ppt
2022-01-07,33.0,ppt
2022-01-08,33.0,ppt
2022-01-09,32.0,ppt
2022-01-10,33.0,ppt
2022-01-11,32.0,ppt
2022-01-12,32.0,ppt
2022-01-13,32.0,ppt
2022-01-14,32.0,ppt
2022-01-15,32.0,ppt
2022-01-16,32.0,ppt
2022-01-17,31.0,ppt
2022-01-18,31.0,ppt
2022-01-19,31.0,ppt
2022-01-20,31.0,ppt
2022-01-21,29.0,ppt
2022-01-22,29.0,ppt
2022-01-23,28.0,ppt
2022-01-24,28.0,ppt
2022-01-25,28.0,ppt
2022-01-26,28.0,ppt
2022-01-27,28.0,ppt
2022-01-28,28.0,ppt
2022-01-29,30.0,ppt
2022-01-30,30.0,ppt
2022-01-31,30.0,ppt
2022-02-01,31.0,ppt
2022-02-02,31.0,ppt
2022-02-03,31.0,ppt
2022-02-04,31.0,ppt
2022-02-05,32.0,ppt
2022-02-06,32.0,ppt
2022-02-07,32.0,ppt
2022-02-08,32.0,ppt
2022-02-09,32.0,ppt
2022-02-10,32.0,ppt
2022-02-11,33.0,ppt
2022-02-12,33.0,ppt
2022-02-13,33.0,ppt
2022-02-14,33.0,ppt
2022-03-03,33.0,ppt
2022-03-04,34.0,ppt
2022-03-05,35.0,ppt
2022-03-06,34.0,ppt
2022-03-07,33.0,ppt
2022-03-08,33.0,ppt
2022-03-09,33.0,ppt
2022-03-10,33.0,ppt
2022-03-11,34.0,ppt
2022-03-12,34.0,ppt
2022-03-13,36.0,ppt
2022-03-14,36.0,ppt
2022-03-15,35.0,ppt
2022-03-16,34.0,ppt
2022-03-17,34.0,ppt
2022-03-18,33.0,ppt
2022-03-19,33.0,ppt
2022-03-20,33.0,ppt
2022-03-21,34.0,ppt
2022-03-22,34.0,ppt
2022-03-23,33.0,ppt
2022-03-24,33.0,ppt
2022-03-25,34.0,ppt
2022-03-26,36.0,ppt
2022-03-27,36.0,ppt
2022-03-28,36.0,ppt
2022-03-29,36.0,ppt
2022-03-30,37.0,ppt
2022-03-31,35.0,ppt
2022-04-01,35.0,ppt
2022-04-02,35.0,ppt
2022-04-03,35.0,ppt
2022-04-04,35.0,ppt
2022-04-05,35.0,ppt
2022-04-06,35.0,ppt
2022-04-07,36.0,ppt
2022-04-08,37.0,ppt
2022-04-09,39.0,ppt
2022-04-10,44.0,ppt
2022-04-11,44.0,ppt
2022-04-12,44.0,ppt
2022-04-13,42.0,ppt
2022-04-14,41.0,ppt
2022-04-15,41.0,ppt
2022-04-16,40.0,ppt
2022-04-17,40.0,ppt
2022-04-18,39.0,ppt
2022-04-20,39.0,ppt
2022-04-21,40.0,ppt
2022-04-22,41.0,ppt
2022-04-23,41.0,ppt
2022-04-24,40.0,ppt
2022-04-25,40.0,ppt
2022-04-26,40.0,ppt
2022-04-27,40.0,ppt
2022-04-28,41.0,ppt
2022-04-29,41.0,ppt
2022-04-30,41.0,ppt
2022-05-01,42.0,ppt
2022-05-02,42.0,ppt
2022-05-03,42.0,ppt
2022-05-20,39.0,ppt
2022-05-21,39.0,ppt
2022-05-22,40.0,ppt
2022-05-23,41.0,ppt
2022-05-24,40.0,ppt
2022-05-25,39.0,ppt
2022-05-26,38.0,ppt
2022-05-27,38.0,ppt
2022-05-28,38.0,ppt
2022-05-29,39.0,ppt
2022-05-30,39.0,ppt
2022-05-31,40.0,ppt
2022-06-01,39.0,ppt
2022-06-02,38.0,ppt
2022-06-03,34.0,ppt
2022-06-04,30.0,ppt
2022-06-05,29.0,ppt
2022-06-06,29.0,ppt
2022-06-07,28.0,ppt
2022-06-08,27.0,ppt
2022-06-09,28.0,ppt
2022-06-10,28.0,ppt
2022-06-11,28.0,ppt
2022-06-12,28.0,ppt
2022-06-13,28.0,ppt
2022-06-14,28.0,ppt
2022-06-15,28.0,ppt
2022-06-16,28.0,ppt
2022-06-17,28.0,ppt
2022-06-18,28.0,ppt
2022-06-19,30.0,ppt
2022-06-20,31.0,ppt
2022-06-21,31.0,ppt
